                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 113.22,                      0,                      0,                      0,                      0,                      0,                      0,                 232.11,                      0,             0.00036674,             0.00036674,             0.00036674
                      2,                      0,                 91.803,                      0,                      0,                      0,                      0,                      0,                      0,                 175.82,                      0,             0.00067589,             0.00067589,             0.00067589
                      3,                      0,                 82.001,                      0,                      0,                      0,                      0,                      0,                      0,                 153.92,                      0,             0.00090912,             0.00090912,             0.00090912
                      4,                      0,                 73.752,                      0,                      0,                      0,                      0,                      0,                      0,                  130.2,                      0,              0.0010664,              0.0010664,              0.0010664
                      5,                      0,                 67.511,                      0,                      0,                      0,                      0,                      0,                      0,                 147.85,                      0,              0.0010069,              0.0010069,              0.0010069
                      6,                      0,                 62.935,                      0,                      0,                      0,                      0,                      0,                      0,                  111.7,                      0,             0.00084184,             0.00084184,             0.00084184
                      7,                      0,                 58.926,                      0,                      0,                      0,                      0,                      0,                      0,                 112.77,                      0,              0.0006768,              0.0006768,              0.0006768
                      8,                      0,                 55.857,                      0,                      0,                      0,                      0,                      0,                      0,                 110.06,                      0,             0.00051177,             0.00051177,             0.00051177
                      9,                      0,                 53.373,                      0,                      0,                      0,                      0,                      0,                      0,                 107.04,                      0,             0.00034674,             0.00034674,             0.00034674
                     10,                      0,                 51.969,                      0,                      0,                      0,                      0,                      0,                      0,                 105.71,                      0,              0.0001817,              0.0001817,              0.0001817
