                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6717,                 3.6881,                 1.5827,                0.00252,                0.10733,                0.00299,                0.00061,                 2.6225,                 3.8921,                 1.3856,             0.00031673,             0.00031673,             0.00031673
                      2,                 2.4137,                 2.6243,                 1.4002,                0.00745,                0.30741,                0.05278,                0.01797,                 2.3792,                 3.3259,                  1.396,             0.00058577,             0.00058577,             0.00058577
                      3,                 2.3564,                  2.379,                 1.3896,                0.41445,                0.09871,                0.09541,                0.03152,                 2.3285,                 2.8787,                 1.4043,             0.00078879,             0.00078879,             0.00078879
                      4,                 2.3273,                 2.3049,                 1.3648,                0.20763,                0.13397,                0.11408,                0.04497,                 2.3748,                 2.7224,                 1.3494,              0.0009258,              0.0009258,              0.0009258
                      5,                 2.2733,                 2.1719,                  1.367,                0.62564,                0.15766,                0.11088,                0.03405,                 2.3418,                 2.8276,                 1.3186,              0.0009968,              0.0009968,              0.0009968
                      6,                 2.2353,                 2.1535,                 1.3537,                0.14718,                0.18709,                 0.1158,                0.03883,                 2.3367,                 2.6187,                 1.3153,             0.00084184,             0.00084184,             0.00084184
                      7,                 2.2195,                 2.0676,                 1.3312,                0.22261,                0.22982,                0.14923,                0.05265,                 2.2802,                 2.4991,                  1.297,              0.0006768,              0.0006768,              0.0006768
                      8,                 2.2245,                 2.0159,                 1.3345,                0.20488,                0.23867,                0.14848,                0.05063,                 2.2813,                 2.5132,                 1.2971,             0.00051177,             0.00051177,             0.00051177
                      9,                 2.1814,                 1.9771,                 1.3154,                0.19626,                0.25848,                0.14131,                0.05017,                 2.2738,                  2.471,                 1.2836,             0.00034674,             0.00034674,             0.00034674
                     10,                  2.188,                 1.9078,                 1.2769,                0.22672,                 0.2661,                0.17592,                0.06197,                 2.2803,                 2.4368,                 1.2956,              0.0001817,              0.0001817,              0.0001817
