                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6654,                 3.6017,                 1.5064,                0.00371,                0.16287,                 0.0088,                0.00167,                 2.8369,                 3.8697,                  1.398,             0.00031673,             0.00031673,             0.00031673
                      2,                    2.4,                 2.5363,                 1.3199,                0.00865,                0.32752,                0.04195,                0.01296,                 2.4832,                 3.3091,                 1.3772,             0.00062438,             0.00062438,             0.00062438
                      3,                 2.3727,                 2.2871,                 1.3255,                0.10833,                0.16721,                0.07208,                0.02156,                 2.3562,                 2.8571,                 1.3513,             0.00090563,             0.00090563,             0.00090563
                      4,                   2.37,                 2.1984,                 1.3121,                0.17636,                0.17879,                0.09143,                 0.0327,                 2.2846,                 2.7476,                 1.3561,              0.0011605,              0.0011605,              0.0011605
                      5,                 2.2894,                 2.1352,                 1.2882,                0.17458,                0.22818,                0.12323,                 0.0414,                 2.3445,                 2.5914,                 1.3245,              0.0013889,              0.0013889,              0.0013889
                      6,                 2.3163,                 2.1143,                  1.296,                0.16204,                0.27074,                0.14629,                0.05034,                 2.3317,                 2.5084,                 1.2899,              0.0013369,              0.0013369,              0.0013369
                      7,                 2.2698,                 2.0629,                 1.3194,                0.18219,                0.27152,                0.12183,                0.03702,                 2.3719,                 2.8503,                 1.2804,              0.0012709,              0.0012709,              0.0012709
                      8,                  2.249,                 1.9554,                 1.2856,                0.16131,                0.28441,                0.11459,                0.03995,                 2.3637,                 2.6609,                 1.2951,              0.0012049,              0.0012049,              0.0012049
                      9,                 2.2349,                 1.9317,                 1.2657,                0.18356,                0.20861,                0.13588,                0.04779,                 2.2681,                 2.7836,                 1.2915,              0.0011389,              0.0011389,              0.0011389
                     10,                 2.2242,                 1.9031,                  1.275,                0.21285,                0.27657,                0.15428,                0.05477,                 2.2974,                 2.4845,                 1.2697,              0.0010729,              0.0010729,              0.0010729
                     11,                 2.2181,                 1.8524,                 1.2431,                0.23957,                0.34772,                0.20268,                0.07303,                 2.2655,                 2.3086,                 1.2934,              0.0010069,              0.0010069,              0.0010069
                     12,                 2.1935,                 1.8131,                 1.2638,                0.20783,                0.28038,                0.13132,                0.04837,                  2.306,                 2.7239,                  1.334,             0.00094085,             0.00094085,             0.00094085
                     13,                 2.2008,                  1.827,                 1.2663,                0.20836,                0.31183,                0.16811,                0.05299,                 2.2784,                 2.7416,                  1.305,             0.00087484,             0.00087484,             0.00087484
                     14,                 2.1668,                 1.7661,                 1.2379,                0.22008,                0.36124,                0.18601,                0.05631,                 2.3817,                 2.7895,                 1.3195,             0.00080883,             0.00080883,             0.00080883
                     15,                 2.1955,                 1.8231,                 1.2409,                 0.2436,                0.29428,                0.18433,                0.06318,                 2.2516,                 2.4782,                 1.2536,             0.00074282,             0.00074282,             0.00074282
                     16,                 2.1212,                   1.84,                 1.2855,                0.24008,                0.32131,                0.19456,                0.06629,                 2.2712,                 2.2632,                 1.2859,              0.0006768,              0.0006768,              0.0006768
                     17,                  2.154,                 1.8459,                  1.297,                0.20539,                0.33171,                0.15815,                0.04829,                 2.3192,                 2.4993,                 1.2786,             0.00061079,             0.00061079,             0.00061079
                     18,                 2.1298,                 1.7888,                 1.2585,                 0.1984,                0.35098,                0.18611,                0.06233,                 2.2853,                 2.3624,                 1.2767,             0.00054478,             0.00054478,             0.00054478
                     19,                 2.1412,                 1.7655,                 1.2704,                0.18966,                0.33528,                0.15556,                0.04889,                 2.3247,                 2.8124,                 1.2962,             0.00047876,             0.00047876,             0.00047876
                     20,                 2.0964,                  1.716,                 1.2515,                0.21905,                0.31828,                 0.1612,                0.05395,                 2.2562,                 2.6852,                 1.2905,             0.00041275,             0.00041275,             0.00041275
                     21,                 2.1227,                 1.6987,                 1.2865,                0.23601,                0.36821,                0.18464,                 0.0567,                 2.3158,                 2.4668,                 1.2884,             0.00034674,             0.00034674,             0.00034674
                     22,                 2.0856,                 1.6496,                 1.2483,                  0.277,                0.29342,                0.17798,                0.05911,                 2.2665,                 2.4187,                  1.298,             0.00028072,             0.00028072,             0.00028072
                     23,                 2.0908,                 1.6242,                 1.2511,                0.27747,                0.32543,                0.18885,                0.06189,                 2.3033,                 2.3154,                 1.3169,             0.00021471,             0.00021471,             0.00021471
                     24,                 2.0759,                 1.6095,                 1.2374,                0.25173,                0.32729,                0.18647,                0.05988,                 2.2731,                  2.356,                 1.2885,              0.0001487,              0.0001487,              0.0001487
                     25,                 2.0715,                 1.6142,                 1.2521,                0.27914,                0.26821,                0.17721,                0.05959,                 2.2591,                 2.3842,                 1.2872,             8.2683e-05,             8.2683e-05,             8.2683e-05
