                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1107,                 2.4148,                  2.134,                 1.8496,                 3.0798,                 1.8386,                0.43741,                0.46419,                0.40294,                0.17935,                 1.9388,                 1.8485,                 1.9524,                 1.7399,                 2.2176,                 1.6708,               0.067058,             0.00033275,             0.00033275
                      2,                 2.0088,                 2.1869,                 2.0467,                 1.8407,                 2.6766,                 1.8045,                0.35787,                0.44828,                0.34297,                0.14228,                 1.8388,                 1.9318,                 1.8287,                 1.7288,                 2.3721,                 1.6468,               0.034031,             0.00063971,             0.00063971
                      3,                 2.0265,                 2.1337,                 2.0464,                 1.8657,                 2.5919,                 1.8287,                0.42853,                0.46419,                0.40774,                 0.1702,                 1.8659,                 1.7972,                 1.8594,                 1.7964,                 2.1241,                 1.7012,             0.00097864,             0.00092026,             0.00092026
                      4,                 1.9849,                 2.1043,                 1.9957,                 1.8656,                 2.5379,                 1.7761,                0.34662,                0.45889,                0.29895,                0.10874,                 1.9038,                 1.9417,                   1.85,                 1.8659,                 2.4275,                 1.6846,              0.0008812,              0.0008812,              0.0008812
                      5,                 1.9869,                 2.0995,                 2.0189,                 1.8413,                 2.5036,                  1.786,                 0.5146,                 0.5252,                0.48472,                0.20346,                 1.8633,                 1.6854,                 1.8069,                 1.8032,                 1.9932,                 1.6639,              0.0008812,              0.0008812,              0.0008812
                      6,                  1.939,                 2.0155,                 1.9654,                 1.8374,                 2.4157,                 1.7629,                0.55867,                 0.5171,                0.54913,                0.23361,                 1.8838,                 1.6312,                 1.8326,                 1.8147,                 1.8905,                 1.6515,              0.0008416,              0.0008416,              0.0008416
                      7,                 1.9378,                 1.9489,                 1.9606,                 1.8123,                 2.3291,                  1.753,                0.56113,                 0.5252,                0.55497,                0.25092,                 1.7928,                 1.5176,                 1.7321,                 1.7241,                 1.7998,                 1.5881,               0.000802,               0.000802,               0.000802
                      8,                 1.9161,                 1.9387,                 1.9569,                 1.7911,                 2.3046,                 1.7331,                0.56644,                0.53581,                0.53227,                0.22684,                 1.7774,                 1.5737,                 1.7766,                 1.7864,                 1.8508,                 1.6746,              0.0007624,              0.0007624,              0.0007624
                      9,                 1.9053,                 1.8768,                 1.9386,                  1.797,                  2.254,                 1.7403,                0.56326,                0.52683,                0.53012,                0.23094,                 1.7663,                 1.6047,                 1.7835,                 1.6925,                 1.8655,                 1.5812,              0.0007228,              0.0007228,              0.0007228
                     10,                 1.8804,                  1.898,                 1.9349,                 1.7779,                 2.2645,                 1.7321,                0.60091,                0.53119,                0.56895,                0.25352,                 1.8134,                 1.5322,                 1.7826,                 1.7038,                 1.7378,                 1.5992,              0.0006832,              0.0006832,              0.0006832
                     11,                 1.8754,                 1.8334,                 1.9124,                 1.7788,                 2.1613,                 1.7091,                0.64744,                0.57294,                0.61329,                0.28978,                 1.7235,                 1.4685,                 1.7462,                  1.686,                 1.6245,                 1.5753,              0.0006436,              0.0006436,              0.0006436
                     12,                 1.8211,                 1.7862,                 1.8866,                 1.7412,                 2.1128,                 1.7005,                0.62678,                0.53846,                0.57541,                 0.2699,                 1.7336,                 1.4296,                 1.7383,                 1.6742,                 1.7134,                 1.5476,               0.000604,               0.000604,               0.000604
                     13,                 1.8412,                 1.8014,                 1.9023,                 1.7338,                 2.1351,                 1.7087,                0.63112,                 0.5756,                 0.6337,                0.30528,                 1.7213,                 1.3979,                 1.6932,                  1.685,                 1.6187,                  1.587,              0.0005644,              0.0005644,              0.0005644
                     14,                 1.8168,                 1.7296,                 1.8693,                 1.7399,                 2.0686,                 1.6927,                0.65331,                0.56483,                0.64534,                0.29501,                  1.752,                 1.3915,                 1.7505,                 1.7136,                 1.6159,                 1.6242,              0.0005248,              0.0005248,              0.0005248
                     15,                 1.8176,                 1.7386,                 1.8807,                  1.725,                 2.0416,                 1.6975,                 0.6301,                0.58621,                0.61983,                 0.3036,                 1.7161,                 1.4084,                 1.7031,                 1.6255,                 1.6203,                 1.5365,              0.0004852,              0.0004852,              0.0004852
                     16,                 1.8138,                 1.6632,                 1.8964,                 1.7841,                 1.8856,                 1.7598,                0.59873,                 0.5756,                0.61262,                0.28337,                 1.7437,                 1.4309,                  1.717,                 1.7356,                 1.5749,                  1.589,              0.0004456,              0.0004456,              0.0004456
                     17,                 1.7897,                 1.5861,                 1.8842,                 1.7689,                 1.7912,                 1.7668,                0.64032,                0.62334,                0.66166,                0.29516,                  1.743,                 1.3577,                 1.7185,                 1.7626,                 1.4941,                 1.5988,               0.000406,               0.000406,               0.000406
                     18,                 1.7839,                 1.5025,                   1.87,                 1.7611,                 1.7074,                 1.7426,                0.64823,                0.59682,                0.65022,                 0.3114,                 1.7132,                 1.4318,                 1.6989,                 1.6957,                 1.5376,                 1.5381,              0.0003664,              0.0003664,              0.0003664
