                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.282,                 3.3488,                 2.1207,                      0,                      0,                      0,                      0,                      0,                 88.141,                      0,                0.00032,                0.00032,                0.00032
                      2,                 1.9324,                  2.612,                 1.8875,                      0,                      0,                      0,                      0,                      0,                 82.479,                      0,             0.00059466,             0.00059466,             0.00059466
                      3,                  1.952,                  2.446,                 1.8204,                      0,                      0,                      0,                      0,                      0,                 111.04,                      0,               0.000802,               0.000802,               0.000802
                      4,                 1.9336,                 2.3346,                 1.8181,                      0,                      0,                      0,                      0,                      0,                 109.08,                      0,             0.00094202,             0.00094202,             0.00094202
                      5,                 1.9103,                 2.3019,                 1.7785,                      0,                      0,                      0,                      0,                      0,                 100.82,                      0,              0.0010147,              0.0010147,              0.0010147
                      6,                 1.8599,                 2.1601,                 1.7585,                      0,                      0,                      0,                      0,                      0,                 179.31,                      0,                0.00101,                0.00101,                0.00101
                      7,                 1.8761,                 2.0983,                 1.7768,                      0,                      0,                      0,                      0,                      0,                 129.35,                      0,               0.000812,               0.000812,               0.000812
                      8,                 1.8362,                 2.0134,                 1.7552,                      0,                      0,                      0,                      0,                      0,                 176.34,                      0,               0.000614,               0.000614,               0.000614
                      9,                 1.8529,                 1.8944,                 1.7361,                      0,                      0,                      0,                      0,                      0,                 155.12,                      0,               0.000416,               0.000416,               0.000416
                     10,                 1.7729,                 1.8057,                 1.6576,                      0,                      0,                      0,                      0,                      0,                  153.3,                      0,               0.000218,               0.000218,               0.000218
