                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.029,                 2.7928,                 2.0014,                0.41265,                0.43236,                0.41102,                0.14703,                 1.9409,                 2.3114,                 1.6763,             0.00065753,             0.00065753,             0.00065753
                      2,                 2.0485,                 2.4018,                 2.0275,                 0.3069,                0.41114,                0.26043,                0.09144,                 2.1202,                 2.8222,                 2.1662,              0.0011931,              0.0011931,              0.0011931
                      3,                 2.0545,                 2.2928,                 2.0824,                0.39533,                0.40584,                0.36837,                0.13434,                 1.9778,                 3.3579,                  1.994,              0.0015967,              0.0015967,              0.0015967
                      4,                 2.0318,                 2.1057,                 2.0602,                0.48251,                0.60212,                0.53313,                0.21595,                 1.9822,                 1.9698,                  1.875,               0.001406,               0.001406,               0.001406
                      5,                 1.9857,                 1.9547,                 1.9724,                0.55859,                 0.5756,                0.52765,                0.21356,                 1.9793,                 1.8918,                   1.89,               0.001208,               0.001208,               0.001208
                      6,                 1.9667,                 1.8865,                 1.9709,                0.66714,                0.60076,                0.64279,                0.28058,                 1.8011,                 1.7899,                 1.7067,                0.00101,                0.00101,                0.00101
                      7,                 1.9099,                  1.786,                 1.9154,                0.66382,                0.61538,                0.68995,                0.30816,                 1.8166,                  1.521,                 1.7154,               0.000812,               0.000812,               0.000812
                      8,                 1.8663,                 1.6943,                 1.8739,                0.74132,                0.61273,                0.70527,                0.29879,                 1.8247,                 1.5021,                 1.7312,               0.000614,               0.000614,               0.000614
                      9,                 1.8211,                 1.5936,                 1.8191,                0.73506,                0.57402,                0.70219,                0.32765,                 1.7152,                 1.4483,                 1.6274,               0.000416,               0.000416,               0.000416
                     10,                 1.7859,                 1.5642,                 1.7881,                0.72027,                0.66251,                 0.7309,                0.35325,                 1.6514,                 1.3874,                 1.5931,               0.000218,               0.000218,               0.000218
