                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9331,                 2.6894,                 2.0387,                0.01562,                0.92975,                  0.259,                0.09244,                 1.8783,                 2.8863,                 2.1734,                0.00022,                0.00022,                0.00022
                      2,                 1.6464,                 2.0744,                 1.7981,                0.01597,                0.95041,                0.45578,                0.20615,                 1.6407,                 2.6147,                 1.7999,             0.00041446,             0.00041446,             0.00041446
                      3,                 1.5967,                 1.8929,                 1.7723,                0.72587,                0.31732,                0.52668,                0.22656,                 1.6767,                 2.3652,                 1.7987,              0.0005614,              0.0005614,              0.0005614
                      4,                 1.5688,                 1.7876,                 1.7023,                0.47184,                0.47253,                0.39198,                0.14608,                 1.8757,                 2.2219,                 1.9042,             0.00066082,             0.00066082,             0.00066082
                      5,                 1.5458,                 1.7491,                 1.6864,                0.47429,                0.49587,                0.46613,                 0.1935,                   1.76,                 2.1054,                 1.8522,             0.00071272,             0.00071272,             0.00071272
                      6,                 1.5374,                 1.7035,                 1.7166,                0.54086,                0.48347,                0.49638,                0.20652,                 1.7645,                 2.0924,                 1.9791,              0.0007171,              0.0007171,              0.0007171
                      7,                 1.5125,                 1.6093,                 1.6362,                0.51499,                0.45455,                0.46807,                 0.1955,                 1.8156,                  2.049,                 1.8879,             0.00067396,             0.00067396,             0.00067396
                      8,                 1.5265,                 1.6151,                 1.6406,                0.51825,                0.49788,                0.47137,                 0.1964,                 1.8219,                  2.054,                  1.943,              0.0005833,              0.0005833,              0.0005833
                      9,                 1.4294,                 1.5255,                 1.5512,                0.58355,                0.49587,                0.50771,                0.22543,                 1.8296,                 1.9548,                 1.9163,               0.000416,               0.000416,               0.000416
                     10,                 1.4543,                  1.439,                 1.5723,                0.52344,                0.54465,                0.52962,                0.23778,                 1.8235,                 1.9131,                 1.8753,               0.000218,               0.000218,               0.000218
