                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9527,                 2.4596,                 1.1836,                0.89743,                0.87051,                0.92286,                0.62073,                0.99624,                 2.2953,                   1.12,             0.00054881,             0.00054881,             0.00054881
                      2,                0.99226,                 1.8916,                 1.1443,                0.87723,                 0.8314,                0.91005,                0.66545,                0.95736,                 1.8988,                  1.171,             0.00099513,             0.00099513,             0.00099513
                      3,                0.95889,                 1.5899,                 1.1357,                0.81455,                0.85946,                 0.9146,                0.65539,                0.97333,                 1.5635,                 1.1487,              0.0013314,              0.0013314,              0.0013314
                      4,                0.92927,                 1.3815,                 1.1224,                0.90261,                0.90674,                0.94299,                0.66922,                0.89996,                 1.3416,                 1.1211,              0.0011719,              0.0011719,              0.0011719
                      5,                 0.8825,                 1.1838,                 1.0874,                 0.9477,                0.93255,                0.95835,                0.72057,                0.86588,                 1.0827,                 1.0776,              0.0010069,              0.0010069,              0.0010069
                      6,                0.85708,                 1.0693,                 1.0909,                0.94583,                0.93821,                0.95721,                0.75246,                0.81187,                0.94581,                 1.0594,             0.00084184,             0.00084184,             0.00084184
                      7,                0.78386,                0.96756,                 1.0493,                0.94325,                0.94512,                0.96436,                0.77288,                0.74385,                0.86849,                 1.0266,              0.0006768,              0.0006768,              0.0006768
                      8,                0.74759,                0.90253,                 1.0267,                0.96253,                0.93598,                0.97087,                0.79136,                0.71544,                0.84656,                 1.0117,             0.00051177,             0.00051177,             0.00051177
                      9,                0.72069,                0.81577,                 1.0211,                0.96038,                0.94817,                0.97107,                0.78102,                0.73062,                 0.7803,                 1.0304,             0.00034674,             0.00034674,             0.00034674
                     10,                0.67265,                0.75546,                0.99947,                0.96206,                 0.9577,                0.97466,                0.81016,                0.66451,                0.72318,                 1.0079,              0.0001817,              0.0001817,              0.0001817
