                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5204,                 4.7996,                   2.28,                 0.1483,                0.18571,                0.09015,                0.02434,                 2.6633,                 6.7217,                 2.2227,                0.00038,                0.00038,                0.00038
                      2,                 2.3366,                 2.7718,                  2.037,                0.28495,                0.16518,                 0.1008,                0.02794,                  2.511,                 4.2433,                 2.2598,             0.00070278,             0.00070278,             0.00070278
                      3,                 2.3588,                 2.5786,                   2.18,                0.15766,                0.42857,                0.12271,                0.03138,                  2.615,                 4.4682,                 2.7336,             0.00094636,             0.00094636,             0.00094636
                      4,                 2.3173,                 2.3276,                 2.1316,                0.04686,                0.04286,                0.02458,                0.00835,                 2.8735,                 21.068,                 3.2493,              0.0011107,              0.0011107,              0.0011107
                      5,                 2.2838,                 2.2058,                  2.143,                0.01205,                0.38571,                0.00788,                0.00214,                 3.0988,                 13.992,                 3.2894,              0.0011959,              0.0011959,              0.0011959
                      6,                 2.2828,                 2.1196,                 2.1626,                0.09651,                0.17143,                0.04203,                0.01055,                 2.8094,                  8.041,                 2.7917,                0.00101,                0.00101,                0.00101
                      7,                 2.2849,                 1.9896,                 2.1116,                0.28504,                0.42716,                0.20721,                0.06109,                 2.3059,                  2.826,                  2.156,               0.000812,               0.000812,               0.000812
                      8,                 2.1477,                  1.896,                 1.9833,                0.49642,                0.51429,                0.45476,                0.13517,                 2.2643,                 2.3293,                 2.1155,               0.000614,               0.000614,               0.000614
                      9,                 2.1578,                 1.7737,                 2.0303,                0.50881,                0.47143,                 0.4325,                0.15393,                 2.2484,                 1.9176,                  2.069,               0.000416,               0.000416,               0.000416
                     10,                 2.1001,                  1.725,                 1.9715,                0.49258,                0.49925,                0.45552,                0.17616,                 2.2202,                 1.7718,                 2.0755,               0.000218,               0.000218,               0.000218
