                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6195,                 3.8746,                 2.2801,                 0.0026,                 0.5102,                0.04004,                0.01132,                 2.2997,                 4.0983,                  2.474,                0.00052,                0.00052,                0.00052
                      2,                 2.3751,                 3.2325,                 2.1162,                0.65192,                0.11523,                0.18901,                0.04805,                 2.3791,                 3.7288,                 2.1065,             0.00095506,             0.00095506,             0.00095506
                      3,                  2.389,                 3.0811,                 2.0888,                0.49142,                0.16327,                0.18571,                0.04978,                 2.4845,                 3.3891,                  2.436,              0.0012832,              0.0012832,              0.0012832
                      4,                 2.3857,                 2.8276,                 2.2527,                0.15709,                 0.2449,                0.12607,                 0.0416,                 2.4318,                 3.6715,                 2.5289,               0.001406,               0.001406,               0.001406
                      5,                 2.3714,                  2.693,                 2.1106,                0.21483,                 0.2449,                0.15245,                0.04913,                  2.527,                 4.2937,                 2.4129,               0.001208,               0.001208,               0.001208
                      6,                 2.3171,                 2.5423,                 2.0697,                0.10573,                 0.2449,                0.06475,                0.01755,                 2.7779,                 3.4855,                 2.5795,                0.00101,                0.00101,                0.00101
                      7,                 2.3177,                 2.3606,                 2.0812,                0.34074,                0.34694,                0.26672,                0.08463,                 2.4205,                 2.9415,                 2.2071,               0.000812,               0.000812,               0.000812
                      8,                 2.2322,                 2.2774,                 2.0095,                0.31694,                0.36735,                0.28883,                0.09349,                 2.4245,                 2.4074,                 2.1911,               0.000614,               0.000614,               0.000614
                      9,                 2.1872,                 2.1047,                 1.9811,                0.54848,                0.36735,                  0.397,                0.15724,                 2.2601,                  2.369,                 2.1146,               0.000416,               0.000416,               0.000416
                     10,                 2.1622,                 2.0035,                 1.9578,                0.66783,                0.38776,                0.47941,                0.16162,                 2.2035,                 2.2865,                 2.0449,               0.000218,               0.000218,               0.000218
