                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69845,                 3.8335,                0.96288,                0.00327,                   0.95,                0.25981,                0.20078,                0.66406,                 3.6481,                0.92222,              0.0002375,              0.0002375,              0.0002375
                      2,                0.62636,                 2.9196,                0.89789,                0.00337,                   0.95,                0.41714,                 0.3525,                0.63013,                 3.4048,                0.89215,             0.00043924,             0.00043924,             0.00043924
                      3,                0.65015,                 2.3542,                0.89802,                0.87997,                0.55668,                0.76035,                0.61728,                0.73258,                 3.1061,                0.92465,             0.00059148,             0.00059148,             0.00059148
                      4,                0.65762,                 2.0031,                0.89369,                0.77457,                0.75944,                0.87957,                0.68557,                0.83695,                  2.314,                0.94571,             0.00069421,             0.00069421,             0.00069421
                      5,                0.63917,                 1.8865,                0.89363,                0.79697,                0.76412,                0.86573,                0.69427,                0.82719,                 2.0676,                0.97621,             0.00074745,             0.00074745,             0.00074745
                      6,                0.63479,                 1.6915,                0.89008,                0.91906,                0.89451,                0.92968,                0.79009,                0.68956,                 1.6517,                0.92471,             0.00063125,             0.00063125,             0.00063125
                      7,                0.58081,                 1.4953,                0.86897,                0.89634,                   0.95,                0.95216,                0.77724,                0.67143,                 1.4084,                0.91813,              0.0005075,              0.0005075,              0.0005075
                      8,                0.55972,                 1.3974,                0.86488,                 0.9334,                0.94089,                0.96223,                0.82621,                 0.6195,                 1.2285,                0.87259,             0.00038375,             0.00038375,             0.00038375
                      9,                0.53096,                 1.3312,                0.84454,                0.98883,                0.95693,                0.98667,                 0.8522,                0.62856,                 1.2201,                 0.8767,                0.00026,                0.00026,                0.00026
                     10,                0.50656,                 1.3047,                0.83169,                0.98447,                0.92804,                0.98536,                0.85474,                0.55958,                 1.1366,                0.86592,             0.00013625,             0.00013625,             0.00013625
