                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9578,                 3.9878,                 1.6065,                0.00296,                0.31806,                0.02314,                0.00967,                 1.8914,                 4.0311,                 1.4868,             0.00046912,             0.00046912,             0.00046912
                      2,                 1.8821,                 3.2477,                 1.5516,                0.11529,                0.19285,                0.09548,                0.04903,                 1.9586,                  3.227,                 1.5897,             0.00085185,             0.00085185,             0.00085185
                      3,                 1.8795,                 2.7675,                 1.5114,                0.20567,                0.20971,                0.12321,                0.06041,                 1.9218,                 3.6874,                 1.5441,              0.0011403,              0.0011403,              0.0011403
                      4,                 1.8191,                 2.5477,                 1.4666,                0.12942,                0.19776,                0.12125,                0.06263,                  1.824,                 2.8601,                 1.4023,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.7392,                 2.2747,                  1.409,                0.20611,                0.16363,                0.16058,                0.09017,                 1.6451,                 2.5351,                 1.3918,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.6648,                 2.0645,                 1.3558,                0.22205,                0.17362,                0.15958,                0.08963,                 1.6342,                 2.4142,                 1.3453,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.6117,                 1.9614,                 1.3379,                0.19126,                0.20359,                0.17106,                0.09797,                 1.6059,                 2.3618,                 1.3473,             0.00058017,             0.00058017,             0.00058017
                      8,                  1.559,                  1.831,                 1.2972,                0.23441,                0.21465,                0.19586,                0.11573,                 1.4958,                 2.2873,                 1.2693,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.5263,                 1.7233,                 1.2631,                0.25493,                0.22755,                0.20206,                0.12129,                 1.4976,                 2.2938,                 1.2555,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.4626,                 1.6457,                  1.242,                 0.2578,                0.21703,                0.19794,                0.12022,                 1.4365,                 2.2824,                 1.2342,             0.00015576,             0.00015576,             0.00015576
