                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5977,                 7.0014,                0.87813,                      1,                0.51819,                0.94394,                0.76101,                    nan,                    nan,                    nan,             0.00065854,             0.00065854,             0.00065854
                      2,                0.67853,                  4.802,                0.96103,                0.97785,                0.76027,                0.84435,                0.65558,                    nan,                    nan,                    nan,               0.001299,               0.001299,               0.001299
                      3,                0.71386,                 3.0355,                0.97258,                0.99672,                0.69318,                0.85926,                0.68515,                    nan,                    nan,                    nan,               0.001913,               0.001913,               0.001913
                      4,                0.74309,                 3.0366,                 1.0035,                0.97989,                0.95205,                0.96501,                 0.7398,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      5,                0.78381,                 2.3656,                 1.0269,                0.97564,                 0.8653,                0.93999,                0.73942,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                0.73286,                 1.7928,                 1.0217,                0.98566,                0.82648,                0.90765,                0.72723,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                0.70756,                 1.6724,                0.98113,                0.97538,                0.81416,                0.89088,                  0.693,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      8,                0.63176,                  1.127,                0.94578,                0.96139,                0.79587,                0.89004,                0.72661,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                      9,                0.62607,                0.96058,                0.94408,                0.97542,                0.86301,                0.92664,                0.77444,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     10,                0.62987,                0.94728,                0.93899,                0.94058,                 0.9035,                 0.9496,                0.78861,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     11,                0.60404,                0.77804,                0.95856,                0.99505,                0.91736,                0.95029,                0.80052,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     12,                0.53768,                0.69171,                0.89797,                0.99071,                0.92694,                0.94905,                0.80159,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     13,                0.54309,                0.63015,                0.92004,                0.98993,                0.89794,                0.93923,                0.78216,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     14,                0.55244,                0.69377,                0.91632,                0.98694,                 0.8624,                0.95038,                0.78705,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     15,                0.52654,                0.61944,                0.92345,                0.97722,                0.88157,                0.93413,                0.78654,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     16,                0.52285,                0.64592,                0.92037,                0.99003,                 0.9068,                0.96635,                0.80817,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     17,                0.53472,                0.67949,                0.91707,                0.97811,                0.91822,                0.95884,                0.79883,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     18,                0.51232,                0.77629,                0.88158,                0.97148,                0.92466,                0.96888,                0.82951,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     19,                0.51859,                0.74937,                0.90564,                0.97535,                0.90342,                0.97508,                0.83785,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     20,                0.50101,                0.56236,                0.88433,                0.99024,                0.92615,                0.96791,                0.82824,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     21,                0.51627,                0.56259,                0.90499,                0.98367,                0.96254,                0.97371,                0.84072,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     22,                0.45486,                0.46807,                0.87983,                0.97631,                0.94111,                0.96191,                0.82082,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     23,                 0.4809,                0.53028,                0.91896,                 0.9805,                0.91819,                0.96645,                0.81572,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     24,                0.45922,                0.49565,                0.90282,                0.97746,                0.92922,                0.96129,                0.82362,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     25,                0.44283,                0.44259,                0.88062,                 0.9799,                0.94977,                0.97334,                0.83993,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     26,                0.41431,                0.44381,                0.85712,                0.95849,                0.91324,                0.95055,                0.80168,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     27,                 0.4231,                0.45581,                0.86948,                0.97859,                0.93941,                0.96978,                0.83981,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     28,                0.48572,                0.49333,                0.89201,                0.99512,                0.93125,                0.95801,                 0.8143,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
