                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.263,                 2.2182,                 2.3074,                 2.1777,                 2.5467,                 2.1979,                0.21891,                0.22546,                0.13981,                0.03742,                 2.4649,                 2.9269,                 2.4303,                 2.3519,                 3.0783,                 2.4525,               0.070053,              0.0033275,              0.0033275
                      2,                 2.4015,                 2.4872,                 2.4581,                  2.279,                 2.9181,                 2.2473,                0.30275,                0.32095,                0.23897,                0.07984,                 2.1955,                 2.8553,                 2.2069,                 2.0821,                 3.3157,                  2.085,               0.039393,              0.0060014,              0.0060014
                      3,                 2.3164,                 2.3646,                 2.3993,                 2.2188,                 2.7884,                 2.2836,                0.25451,                0.30239,                0.20756,                0.06324,                 2.3541,                 2.8489,                 2.3485,                 2.2764,                 2.7806,                 2.2845,              0.0080737,              0.0080153,              0.0080153
                      4,                 2.2526,                 2.2039,                 2.3355,                  2.178,                 2.6358,                 2.2519,                0.36119,                0.38196,                0.31605,                0.12185,                 2.0761,                 1.8793,                 1.9534,                 1.9356,                 2.2826,                 1.8702,                0.00703,                0.00703,                0.00703
                      5,                 2.1976,                 2.1742,                 2.2189,                 2.0806,                 2.5896,                  2.075,                0.48392,                0.39257,                0.37729,                0.15176,                 2.0551,                 1.9951,                 1.9788,                 1.9876,                 2.2921,                 1.8502,                0.00703,                0.00703,                0.00703
                      6,                  2.128,                 2.0985,                 2.1961,                 2.0332,                 2.4933,                  2.041,                0.39193,                0.33422,                0.34523,                0.13439,                 2.0216,                 1.9703,                 1.9455,                 2.0056,                 2.2621,                 1.8015,                0.00604,                0.00604,                0.00604
                      7,                 2.0942,                 2.0223,                 2.1319,                  2.027,                  2.417,                 2.0128,                0.46696,                0.40199,                0.40179,                0.15148,                  2.031,                 1.7996,                 1.9286,                 1.8981,                 2.1382,                 1.8067,                0.00505,                0.00505,                0.00505
                      8,                 2.0585,                 1.9538,                 2.0963,                 1.9469,                 2.3352,                 1.9922,                 0.4783,                0.38992,                 0.4316,                0.19391,                 1.9444,                 1.8006,                 1.8835,                 1.8405,                 2.0061,                 1.7521,                0.00406,                0.00406,                0.00406
                      9,                   2.04,                  1.875,                 2.0702,                  1.975,                 2.1884,                 1.9827,                0.50422,                0.44512,                0.47979,                0.20814,                 1.8563,                 1.6923,                 1.7861,                 1.8478,                 1.8879,                 1.6991,                0.00307,                0.00307,                0.00307
                     10,                 1.9949,                  1.833,                 2.0322,                 1.9328,                 2.1465,                 1.9472,                0.53787,                0.49602,                0.52628,                0.22089,                 1.8483,                 1.6093,                 1.7984,                 1.8075,                  1.878,                 1.7278,                0.00208,                0.00208,                0.00208
