                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4041,                 3.7572,                 2.1778,                0.00417,                0.71429,                0.11595,                0.03741,                 2.4226,                 3.9389,                 2.0331,                0.00038,                0.00038,                0.00038
                      2,                 2.2023,                 3.1317,                 2.0451,                  0.004,                0.68571,                0.08898,                0.03001,                 2.3029,                 4.0717,                 2.1335,             0.00070278,             0.00070278,             0.00070278
                      3,                 2.2062,                 2.9848,                 2.0413,                0.52278,                  0.063,                0.16926,                 0.0441,                 2.4156,                 3.6582,                   2.01,             0.00094636,             0.00094636,             0.00094636
                      4,                 2.2539,                 2.8346,                  1.975,                0.22172,                0.32857,                0.24752,                0.06033,                 2.5541,                 3.0311,                 2.2591,              0.0011107,              0.0011107,              0.0011107
                      5,                  2.205,                  2.717,                 2.0591,                0.40924,                0.35714,                0.32329,                0.10532,                 2.1974,                  3.031,                 2.1368,              0.0011959,              0.0011959,              0.0011959
                      6,                 2.1661,                 2.6328,                 2.0345,                0.41311,                0.27151,                0.29046,                0.08438,                  2.422,                 3.0585,                 2.2465,                0.00101,                0.00101,                0.00101
                      7,                 2.1624,                    2.5,                 1.9335,                0.42575,                0.42371,                0.35825,                0.10062,                 2.1992,                 2.6071,                 1.9764,               0.000812,               0.000812,               0.000812
                      8,                  2.057,                 2.3411,                 1.8696,                0.47829,                    0.3,                0.29195,                 0.0813,                 2.3208,                 2.6219,                 2.0604,               0.000614,               0.000614,               0.000614
                      9,                 2.1022,                 2.2042,                 1.8816,                0.48623,                0.52729,                0.49319,                0.16619,                 2.2104,                 2.2002,                 1.9113,               0.000416,               0.000416,               0.000416
                     10,                 2.0638,                 2.1661,                 1.8304,                0.51913,                0.57143,                0.57054,                0.18105,                 2.0808,                 2.1112,                 1.8237,               0.000218,               0.000218,               0.000218
